Continent,Country,Official Name,Headquarters,Website,Subdomains,Languages,Notes:
Asia,South Korea,Yonhap News Agency,Seoul,http://yna.co.kr,"ar, en, cn, sp, fr, jp","KO, EN, AR, ZH, JA, FR, ES",Public ownership.
Asia,North Korea,Uriminzokkiri,N/A,http://uriminzokkiri.com,,"KO, EN, RU, ZH, JA",State ownership
Asia,China,China Global Television Network,Beijing,http://cgtn.com,,"EN, ES, FR, AR, RU",Public ownership.
Asia,China,Xinhua News Agency,Beijing,http://news.cn,english,"ZH, EN",
Asia,Japan,Nippon Housou Kyoukai,Tokyo,http://www.nhk.or.jp,,"JP, ZH, KO, EN",Public ownership.
Asia,Iran,Islamic Republic News Agency,NA,http://irna.ir,"en, ar, tr, es, ru, ur, de, fr, zh","FA, EN, AR, TR, ES, RU, UR, DE, FR, ZH",
Asia,Palestine,Palestinian News and Agency Information,Ramallah,https://wafa.ps,"english, french, hebrew","AR, EN, FR, HE",News agency of the Palestinian national authority.
Asia,Azerbaijan,Azerbaijan Television,N/A,https://www.aztv.az,,"AZ, EN, RU",State news Agency of Azerbaijan.
Asia,India,All India Radio,New Delhi,https://newsonair.gov.in,,EN,???
Asia,Saudi Arabia,Al Arabiya,Riyadh,https://alarabiya.net,"english, farsi, urdu","AR, FA, EN, UR","International telenews agency from KSA, based in Dubai."
Asia,Saudi Arabia,Saudi Press Agency,Riyadh,https://www.spa.gov.sa,,"AR, EN, ZH, RU, FA",Official state news agency of KSA.
Asia,Laos,Lao News Agency,N/A,http://kpl.gov.la,,"LO, EN, FR",Official state news agency of Lao PDR.
Europe,Russia,Sputnik,N/A,http://sputniknews.com,,"EN, RU",State ownership by Rossiya Segodnya.
Europe,Russia,Russia Today,Moscow,http://www.rt.com,"actualidad, arabic, russian, de, francais","EN, RU, AR, ES, DE, FR","Private ownership by ""TV-Anosti"", state funded."
Europe,Russia,TASS,Moscow,http://tass.ru,,RU,Russian news agency founded in 1904. Currently wholly owned by Russian government.
Europe,Ukraine,TSN,N/A,http://tsn.ua,,UK,Unknown ownership.
Europe,Ukraine,Ukrains'ka Pravda,N/A,https://www.pravda.com.ua,,"UK, RU, EN",Major Ukrainian online paper.
Europe,United Kingdom,British Broadcasting Corporation,London,http://www.bbc.com,,EN,
Europe,Sweden,Sveriges Radio,Stockholm,https://sverigesradio.se,,"SV, FI",National publically funded radio/news org.
Europe,Italy,Corriere della Sera,Milan,https://Corriere.it,,IT,Italian newspaper of record
Europe,Greece,Athens-Macedonian News Agenca,,https://www.amna.gr,,"EL, EN",
Europe,Ireland,The Irish Times,Dublin,https://www.irishtimes.com,,EN,One of the oldest newspapers in the British Isles
Europe,Spain,El Pais,Madrid,https://elpais.com,english,"ES, EN",Second largest paper in Spain.
North America,United States,Voice of America,"Washington, D.C.",https://voanews.com,,EN,Dozens of languages and local international versions.
North America,United States,United States Africa Command,Stuttgart,http://www.africom.mil,,EN,Official news and infromation page of the United States Africa Command. (AFRICOM)
North America,Canada,La Presse,Montreal,https://lapresse.ca,,FR,Private ownership
North America,Cuba,Granma,N/A,http://www.granma.cu,en,ES,Offical paper of the Communist Party of Cuba.
North America,Cuba,Prensa Latina,N/A,https://www.prensa-latina.cu,"frances, italiano","ES, FR, RU",
South America,Venezuela,teleSUR,Caracas,http://telesurtv.net,,ES,"State/public ownership, with funding from Nicaragua and Cuba."
South America,Argentina,Clarin Digital,Buenos AIres,http://www.clarin.com,,ES,
South America,Brazil,Folha de Sao Paulo,Sau Paulo,https://www.folha.uol.com.br,,"PT, ES, EN",
South America,Brazil,O Estado de Sao Paulo,Sau Paulo,https://www.estadao.com.br,,PT,
South America,Chile,El Mercurio,Santiago,https://www.emol.com,,ES,
South America,Chile,La Tercera,Santiago,https://www.latercera.com,,ES,
South America,Venezuela,El Universal (Venezuela),Caracas,https://www.eluniversal.com,,ES,Venezuelan paper of record
North America,Mexico,El Universal (Mexico),N.A,https://www.eluniversal.com.mx,,ES,Mexican edition of El Universal
Africa,Eritrea,Tesfa News,N/A,https://tesfanews.net,,"EN, TIG, TIR","State owned (presumably) ""pro-PFDJ) news outlet"""
Africa,Eritrea,Shabait,Asmara,https://shabait.com,,"EN, TIG, TIR",Official page of the Ministry of Information of Eritrea.
Africa,Nigeria,Federal Radio Corporation of Nigeria,Abuja,https://radionigeria.gov.ng,,EN,State radio of Nigeria.
Africa,Sierra Leone,Sierra Leone Telegraph,N/A,https://www.thesierraleonetelegraph.com/,,EN,
Africa,Senegal,Dakar Matin,N/A,https://dakarmatin.com,,FR,Senegalese newspaper of record.
Africa,Eswatini,Swazi Observer,N/A,http://new.observer.org.sz/,,EN,
Africa,Liberia,Front Page Africa,N/A,https://frontpageafricaonline.com,,EN,Online Liberian investigative newspaper.
Africa,Kenya,Daily Nation,Nairobi,https://nation.africa,,EN,"Kenya's ""biggest daily paper"""
Africa,Uganda,Uganda Monitor,N/A,https://monitor.co.ug,,EN,